Sound,CC00,CC32,PC
Flute DNC,121,11,73
Orchestra Flute,121,5,73
Flute Switch,121,2,73
Flute Dyn. 5th,121,3,73
Flute Frullato,121,4,73
Wooden Flute,121,7,73
Oboe 2,121,4,68
English Horn,121,1,69
Pan Flute 1 DNC,121,2,75
Pan Flute 2 DNC,121,3,75
Pan Flute Y-,121,4,75
Bambu Flute,121,8,73
Whistle 1,121,3,78
Whistle 2,121,4,78
Whistle 2 DNC,121,5,78
Breathy Whistle,121,2,78
Recorder 1,121,1,74
Recorder 2,121,2,74
Old Shakuhachi,121,1,77
Woodwinds,121,6,71
Section Winds 1,121,3,71
Section Winds 2,121,4,71
Legacy/Synth Pad,,,
Sky Watcher,121,2,90
Vintage Pad,121,11,89
You Decide,121,8,95
Korgmatose,121,13,90
Reoccuring Astra,121,6,95
Astral Dream,121,1,95
Reso Down,121,2,97
Crimson 5ths,121,1,86
Freedom Pad,121,7,89
Noble Pad,121,5,97
Mellow Pad,121,4,95
Elastick Pad,121,7,97
Lonely Spin,121,1,100
Synth Ghostly,121,2,100
Farluce,121,11,90
Dark Element,121,3,95
Bell Choir,121,7,98
Wide Attack,121,10,99
Wave Cycle,121,3,96
Movie Stack 4,121,7,99
Bengione,121,1,99
Cross Sweep,121,6,90
Virtual Traveler,121,1,88
Dreaming Coil,121,3,99
Analog Pad 2,121,9,89
Analog Pad 3,121,10,89
Money Pad,121,5,89
Pods In Pad,121,4,97
Chiff Touch Pad,121,1,83
Tinklin Pad,121,3,97
Dance ReMix,121,10,91
Organ Stab DNC,121,4,101
Legacy/Synth Lead,,,
Synchro City,121,2,84
Wild Arp,121,6,55
Seq Lead,121,7,81
Electro Lead,121,2,87
Thin Analog Lead,121,4,87
Glide Lead,121,9,81
Fire Wave,121,10,81
Old & Analog,121,8,80
Power Synth,121,3,89
Mega Synth,121,9,90
Digital PolySix,121,7,90
Flip Blip,121,7,55
Reso Sweep,121,1,90
Synth Sweeper,121,3,90
Sync Kron,121,3,84
Tecno Phonic,121,10,90
Band Passed,121,3,102
Cat Lead,121,9,87
Pan Reso,121,4,102
Metallic Rez,121,4,84
Square Rez,121,11,80
Rezbo,121,11,81
Express. Lead,121,5,87
Port Whine,121,12,80
Auto Pilot 1,121,14,38
Arp Angeles,121,2,88
Brian Sync,121,5,84
Arp Twins,121,6,84
LoFi Ethnic,121,7,84
Caribbean,121,2,96
Sine Wave,121,6,80
Analog Lead,121,7,80
Gliding Square,121,9,80
Sine Switch,121,10,80
Cycle Seq. 1,121,8,96
Cycle Seq. 2,121,9,96
2VCO Planet Lead,121,13,80
Motion Raver,121,1,101
Legacy/Ethnic,,,
Mandolin Key Off,121,10,25
War Pipes,121,1,109
Sitar Sitar,121,7,104
Hit in India,121,5,55
Tambra,121,6,104
Indian Stars,121,3,104
Bali Gamelan,121,2,112
Ukulele Gtr,121,26,24
Legacy/Bass,,,
Acous. Bass Pro2,121,4,32
Acous. Bass RX,121,7,32
Acoustic Bass 2,121,8,32
Real Ac. Bass 2,121,12,32
Ac. Bass Buzz,121,1,32
Finger E.Bass 3,121,2,33
Finger E.Bass 4,121,3,33
Finger E.Bass 5,121,6,33
Bright Finger B.,121,9,33
FingerE.Bass1 RX,121,10,33
Finger Slap,121,12,33
FingerE.Bass2 RX,121,13,33
Finger E.Bass 6,121,15,33
Dark E.Bass 1,121,20,33
FingerE.Bass3 RX,121,21,33
Dark E.Bass DNC,121,22,33
Picked E. Bass 2,121,1,34
Bass Mute,121,5,34
Picked E. Bass 4,121,7,34
Picked E. Bass 5,121,8,34
Picked E.Bass RX,121,10,34
Picked E. Bass 3,121,11,34
Fretless Bass 2,121,2,35
Dark R&B Bass2,121,5,35
Slap Bass 1,121,6,36
Slap Bass 2,121,6,37
Slap Bass 3,121,7,37
DynaSlapBass RX,121,3,37
Super Bass 2,121,1,36
FunkSlapBass RX,121,3,36
The Other Slap,121,5,37
SlapFingerBassRX,121,4,36
SlapPickedBassRX,121,5,36
Chorus Slap Bass,121,4,37
DarkWoody A.Bass,121,5,32
More Mid Bass,121,11,33
Woofer Pusher 2,121,6,35
Dark R&B Bass1,121,4,35
Dyna Bass,121,2,37
Ticktacing Bass,121,9,34
Fretless Bass 3,121,7,35
Stick Bass,121,5,33
Auto Pilot 2,121,13,39
Phunk Synth Bass,121,14,39
Digi Bass 3,121,10,38
Dr. Octave,121,16,38
Monofilter Bass,121,11,39
Autofilter Bass,121,10,39
Hybrid Bass,121,15,38
Synth Bass 80ish,121,9,39
Synth Bass 2,121,15,39
Reso Bass,121,12,39
Drive Bass,121,17,38
Nasty Bass,121,6,39
Bass Square,121,7,38
Square Bass,121,7,87
Phat Bass,121,7,39
Blind As A Bat,121,12,38
Poinker Bass,121,8,39
GM/XG,,,
GM/XG/Piano,,,
AcousticPiano GM,121,0,0
Ac. Piano Wide,121,1,0
Ac. Piano Dark,121,2,0
Bright Piano GM,121,0,1
Bright PianoWide,121,1,1
E.Grand Piano GM,121,0,2
E. Grand Wide,121,1,2
Honky-Tonk GM,121,0,3
Honky Wide,121,1,3
E. Piano 1 GM,121,0,4
Detuned EP 1,121,1,4
EP 1 Veloc. Mix,121,2,4
60’s E. Piano,121,3,4
E. Piano 2 GM,121,0,5
Detuned EP 2,121,1,5
EP 2 Veloc. Mix,121,2,5
EP Legend,121,3,5
EP Phase,121,4,5
Harpsichord GM,121,0,6
Harpsi OctaveMix,121,1,6
Harpsi Wide,121,2,6
Harpsi Key Off,121,3,6
Clav GM,121,0,7
Pulse Clav,121,1,7
AcousticPiano XG,0,0,0
AcousticPiano KP,0,1,0
Mellow Gr. Piano,0,18,0
Piano Strings,0,40,0
Piano Dream,0,41,0
Bright Piano XG,0,0,1
Bright Piano KP,0,1,1
E.Grand Piano XG,0,0,2
E.Grand Piano KP,0,1,2
E. Grand Detuned,0,32,2
Layered E.Grand1,0,40,2
Layered E.Grand2,0,41,2
Honky-Tonk XG,0,0,3
Honky-Tonk KP,0,1,3
E. Piano 1 XG,0,0,4
E. Piano 1 KP,0,1,4
Mellow EP1,0,18,4
Chorus EP 1,0,32,4
Hard El. Piano,0,40,4
Vel. X-Fade EP 1,0,45,4
60’s El. Piano 1,0,64,4
E. Piano 2 XG,0,0,5
E. Piano 2 KP,0,1,5
Chorus EP 2,0,32,5
FM EP Hard,0,33,5
FM Legend EP,0,34,5
FM Phase EP,0,40,5
Dx & Analog,0,41,5
FM Koto EP,0,42,5
Vel. X-Fade EP 2,0,45,5
Harpsichord XG,0,0,6
Harpsichord KP,0,1,6
Harpsichord HP,0,25,6
Harpsi Octave,0,35,6
Clav XG,0,0,7
Clav KP,0,1,7
Clav. Wah Dyn.,0,27,7
Pulse Clav X,0,64,7
Pierce Clav,0,65,7
GM/XG/Chrom. Perc.,,,
Celesta GM,121,0,8
Glockenspiel GM,121,0,9
Music Box GM,121,0,10
Vibraphone GM,121,0,11
Vibraphone Wide,121,1,11
Marimba GM,121,0,12
Marimba Wide,121,1,12
Xylophone GM,121,0,13
Tubular Bell GM,121,0,14
Church Bell,121,1,14
Carillon,121,2,14
Dulcimer GM,121,0,15
Celesta XG,0,0,8
Glockenspiel XG,0,0,9
Music Box XG,0,0,10
Orgel Bell,0,64,10
Vibraphone XG,0,0,11
Vibraphone KP,0,1,11
Hard Vibraphone,0,45,11
Marimba XG,0,0,12
Marimba KP,0,1,12
Sin Marimba,0,64,12
Balimba,0,97,12
Log Drum X,0,98,12
Xylophone XG,0,0,13
Tubular Bell XG,0,0,14
Church Bells,0,96,14
Carillonx,0,97,14
Dulcimer XG,0,0,15
Dulcimer Octave,0,35,15
Cimbalom,0,96,15
Santur 2,0,97,15
GM/XG/Organ,,,
Drawbar Org GM,121,0,16
Det. Drawbar Org,121,1,16
It. 60’s Organ,121,2,16
Drawbar Org. 2,121,3,16
Perc.Organ GM,121,0,17
Det. Perc. Organ,121,1,17
Percussive Org 2,121,2,17
Rock Organ GM,121,0,18
Church Organ GM,121,0,19
Church Oct. Mix,121,1,19
Detuned Church,121,2,19
Reed Organ GM,121,0,20
Puff Organ,121,1,20
Accordion GM,121,0,21
Accordion 2,121,1,21
Harmonica GM,121,0,22
Tango Accord.GM,121,0,23
Drawbar Org XG,0,0,16
Detuned Drawbar,0,32,16
60’s Draw.Org. 1,0,33,16
60’s Organ X,0,34,16
70’s DB Org. 1,0,35,16
Drawbar Org. 3,0,36,16
Drawbar 5th,0,37,16
Even Bar Org.,0,38,16
Organ 16+2’2/3,0,40,16
Organ Bass Dance,0,64,16
70’s DB Org. 2,0,65,16
Cheezy Organ,0,66,16
Drawbar Org Perc,0,67,16
Perc.Organ XG,0,0,17
70’s Perc. Organ,0,24,17
ChorusPerc.Organ,0,32,17
Lite Organ,0,33,17
Percussive Org X,0,37,17
Rock Organ XG,0,0,18
Rotary Organ V.,0,64,18
Slow Rotary,0,65,18
Fast Rotary,0,66,18
Church Organ XG,0,0,19
Church Organ 3,0,32,19
Church Organ 2,0,35,19
Notre Dame,0,40,19
Organ Flute,0,64,19
Trem. Org. Flute,0,65,19
Reed Organ XG,0,0,20
Puff Organx,0,40,20
Accordion XG,0,0,21
Accord. It.,0,32,21
Harmonica XG,0,0,22
Soft Harmonica,0,32,22
Tango Accord.XG,0,0,23
TangoAccordion 2,0,64,23
GM/XG/Guitar,,,
Nylon Guitar GM,121,0,24
Ukulele,121,1,24
Nylon Key Off,121,2,24
Nylon Guitar 2,121,3,24
Steel Guitar GM,121,0,25
12 Strings Gtr,121,1,25
Mandolin,121,2,25
Steel Gtr & Body,121,3,25
Jazz Guitar GM,121,0,26
Pedal Steel Gtr,121,1,26
Clean Guitar GM,121,0,27
Det.Clean El.Gtr,121,1,27
Mid Tone Gtr,121,2,27
Muted Guitar GM,121,0,28
Funky Cut El.Gtr,121,1,28
Mute Vel. El.Gtr,121,2,28
Jazz Man,121,3,28
Overdrive Gtr GM,121,0,29
Guitar Pinch,121,1,29
DistortionGtr GM,121,0,30
Feedback DistGtr,121,1,30
Dist. Rhythm Gtr,121,2,30
Gtr Harmonic GM,121,0,31
Guitar Feedback,121,1,31
Nylon Guitar XG,0,0,24
Nylon Guitar 2X,0,16,24
Nylon Guitar 3X,0,25,24
Nylon & Harm. V.,0,43,24
Ukulele X,0,96,24
Steel Guitar XG,0,0,25
Steel Guitar X,0,16,25
12 Strings Gtr X,0,35,25
Nylon plus Steel,0,40,25
SteelGtrWithBody,0,41,25
Mandolin X,0,96,25
Jazz Guitar XG,0,0,26
Mellow Guitar,0,18,26
Jazz Man Amp,0,32,26
Clean Guitar XG,0,0,27
Chorus El.Gtr,0,32,27
Muted Guitar XG,0,0,28
Funk Cut Guitar,0,40,28
Muted Steel Gtr,0,41,28
Funk Guitar 2,0,43,28
Jazz Boy,0,45,28
Overdrive Gtr XG,0,0,29
Guitar Nip,0,43,29
DistortionGtr XG,0,0,30
Feedback DistGt1,0,40,30
Feedback DistGt2,0,41,30
Gtr Harmonic XG,0,0,31
Gtr Feedback,0,65,31
Gtr Harmonic,0,66,31
GM/XG/Bass,,,
Acoustic Bass GM,121,0,32
Finger Bass GM,121,0,33
Finger Slap Bass,121,1,33
Picked E.Bass GM,121,0,34
Fretless Bass GM,121,0,35
Slap Bass 1 GM,121,0,36
Slap Bass 2 GM,121,0,37
Synth Bass 1 GM,121,0,38
Synth Bass Warm,121,1,38
Synth Bass Reso,121,2,38
Clavi Bass,121,3,38
Hammer,121,4,38
Synth Bass 2 GM,121,0,39
SynthBass Attack,121,1,39
SynthBass Rubber,121,2,39
Attack Pulse,121,3,39
Acoustic Bass XG,0,0,32
Jazz Rhythm,0,40,32
Ac. Bass V.,0,45,32
Finger Bass XG,0,0,33
Finger Dark,0,18,33
Flange Bass,0,27,33
FngBass&DstGuit.,0,40,33
FingerSlapBass V,0,43,33
Finger Bass X,0,45,33
Modulated Bass,0,65,33
Picked E.Bass XG,0,0,34
Muted Pick Bass,0,28,34
Fretless Bass XG,0,0,35
Fretless Bass B,0,32,35
Fretless Det.,0,33,35
Fretless Soft,0,34,35
Synth Fretless,0,96,35
Smooth Fretless,0,97,35
Slap Bass 1 XG,0,0,36
Resonant Slap,0,27,36
Punch Thumb Bass,0,32,36
Slap Bass 2 XG,0,0,37
Velo. Sw. Slap,0,43,37
Synth Bass 1 XG,0,0,38
Syn. Bass Dark,0,18,38
Fast Reso. Bass,0,20,38
Acid Bass,0,24,38
Clav. Bass,0,35,38
Techno Bass,0,40,38
Orbiter Bass,0,64,38
Xquare Bass,0,65,38
Rubber Bass,0,66,38
Hammer Bass,0,96,38
Synth Bass 2 XG,0,0,39
Mellow Syn Bass,0,6,39
Sequenced Bass,0,12,39
Click Synth Bass,0,18,39
Synth Bass Dark,0,19,39
Smooth Syn. Bass,0,32,39
Modular Syn Bass,0,40,39
DX Bass,0,41,39
X Wire Bass,0,64,39
GM/XG/Strings,,,
Violin GM,121,0,40
Slow Att. Violin,121,1,40
Viola GM,121,0,41
Cello GM,121,0,42
Contrabass GM,121,0,43
Tremolo Str. GM,121,0,44
Pizzicato Str.GM,121,0,45
Harp GM,121,0,46
Yang Chin,121,1,46
Timpani GM,121,0,47
Violin XG,0,0,40
Slow Atk Violin,0,8,40
Viola XG,0,0,41
Cello XG,0,0,42
Contrabass XG,0,0,43
Tremolo Str. XG,0,0,44
Slw Tremolo Str.,0,8,44
Suspense Strings,0,40,44
Pizzicato Str.XG,0,0,45
Harp XG,0,0,46
Yang Chin X,0,40,46
Timpani XG,0,0,47
GM/XG/Ensemble,,,
Strings Ens.1 GM,121,0,48
Strings & Brass,121,1,48
60’s Strings,121,2,48
Strings Ens.2 GM,121,0,49
Synth Strings1GM,121,0,50
Synth Strings 3,121,1,50
Synth Strings2GM,121,0,51
Choir Aahs GM,121,0,52
Choir Aahs 2,121,1,52
Voice Oohs GM,121,0,53
Humming,121,1,53
Synth Voice GM,121,0,54
Analog Voice,121,1,54
Orchestra Hit GM,121,0,55
Bass Hit Plus,121,1,55
6th Hit,121,2,55
Euro Hit,121,3,55
Strings Ens.1 XG,0,0,48
Stereo Stringx,0,3,48
Slw Atk Strings,0,8,48
Arco Stringx,0,24,48
60’s Strings X,0,35,48
Orchestra,0,40,48
Orchestra 2,0,41,48
TremoloOrchestra,0,42,48
Velocity Strings,0,45,48
Strings Ens.2 XG,0,0,49
StereoSlwStrings,0,3,49
SlwLegatoStrings,0,8,49
Warm Strings,0,40,49
Kingdom,0,41,49
70’s Strings,0,64,49
Strings 3,0,65,49
Synth Strings1XG,0,0,50
Reso Strings,0,27,50
Synth Strings 4,0,64,50
Synth Strings 5,0,65,50
Synth Strings2XG,0,0,51
Choir Aahs XG,0,0,52
Stereo Choir,0,3,52
Choir Aahs 3,0,16,52
Mellow Choir,0,32,52
Choir Strings,0,40,52
Voice Oohs XG,0,0,53
Synth Voice XG,0,0,54
Synth Voix,0,40,54
Choral,0,41,54
Analog Voix,0,64,54
Orchestra Hit XG,0,0,55
Orchestra Hitx,0,35,55
Impact,0,64,55
GM/XG/Brass,,,
Trumpet GM,121,0,56
Dark Trumpet,121,1,56
Trombone GM,121,0,57
Trombone 2,121,1,57
Bright Trombone,121,2,57
Tuba GM,121,0,58
Muted Trumpet GM,121,0,59
Muted Trumpet 2,121,1,59
French Horn GM,121,0,60
FrenchHorn Warm,121,1,60
Brass Section GM,121,0,61
Brass Section 2,121,1,61
Synth Brass 1 GM,121,0,62
Synth Brass 3,121,1,62
Analog Brass 1,121,2,62
Jump Brass,121,3,62
Synth Brass 2 GM,121,0,63
Synth Brass 4,121,1,63
Analog Brass 2,121,2,63
Trumpet XG,0,0,56
Trumpet 2,0,16,56
Brite Trumpet,0,17,56
Trombone XG,0,0,57
Warm Trombone,0,18,57
Tuba XG,0,0,58
Tuba 2,0,16,58
Muted Trumpet XG,0,0,59
French Horn XG,0,0,60
French Horn Solo,0,6,60
Warm French Horn,0,32,60
Horn Orchestra,0,37,60
Brass Section XG,0,0,61
Tpt&Tbn Section,0,35,61
Brass Section 3,0,40,61
Hit Brass,0,41,61
Mellow Brass,0,42,61
Synth Brass 1 XG,0,0,62
Quack Brass,0,12,62
Res. Synth Brass,0,20,62
Poly Brass,0,24,62
Synth Brass 4 X,0,27,62
Jump Brass X,0,32,62
AnaVel Brass 1,0,45,62
AnaLog Brass 1,0,64,62
Synth Brass 2 XG,0,0,63
Soft Brass,0,18,63
Synth Brass X,0,40,63
Choir Brass,0,41,63
AnaVel Brass 2,0,45,63
AnaLog Brass 2,0,64,63
GM/XG/Reed,,,
Soprano Sax GM,121,0,64
Alto Sax GM,121,0,65
Tenor Sax GM,121,0,66
Baritone Sax GM,121,0,67
Oboe GM,121,0,68
English Horn GM,121,0,69
Bassoon GM,121,0,70
Clarinet GM,121,0,71
Soprano Sax XG,0,0,64
Alto Sax XG,0,0,65
Sax Section,0,40,65
HyperAltoSax,0,43,65
Tenor Sax XG,0,0,66
BreathyTenorSax,0,40,66
Soft Tenor Sax,0,41,66
Tenor Sax 2,0,64,66
Baritone Sax XG,0,0,67
Oboe XG,0,0,68
English Horn XG,0,0,69
Bassoon XG,0,0,70
Clarinet XG,0,0,71
GM/XG/Pipe,,,
Piccolo GM,121,0,72
Flute GM,121,0,73
Recorder GM,121,0,74
Pan Flute GM,121,0,75
Blown Bottle GM,121,0,76
Shakuhachi GM,121,0,77
Whistle GM,121,0,78
Ocarina GM,121,0,79
Piccolo XG,0,0,72
Flute XG,0,0,73
Recorder XG,0,0,74
Pan Flute XG,0,0,75
Blown Bottle XG,0,0,76
Shakuhachi XG,0,0,77
Whistle XG,0,0,78
Ocarina XG,0,0,79
GM/XG/Syn Lead Syn Pad,,,
Lead Square GM,121,0,80
Lead Square 2,121,1,80
Lead Sine,121,2,80
Lead Saw GM,121,0,81
Lead Saw 2,121,1,81
Lead Saw & Pulse,121,2,81
Lead Double Saw,121,3,81
Lead Seq. Analog,121,4,81
Calliope GM,121,0,82
Chiff GM,121,0,83
Charang GM,121,0,84
Wire Lead,121,1,84
Voice Lead GM,121,0,85
Fifths Lead GM,121,0,86
Bass & Lead GM,121,0,87
Lead Soft Wrl,121,1,87
New Age Pad GM,121,0,88
Warm Pad GM,121,0,89
Sine Pad,121,1,89
Polysynth GM,121,0,90
Choir Pad GM,121,0,91
Itopia Pad,121,1,91
Bowed Glass GM,121,0,92
Metallic Pad GM,121,0,93
Halo Pad GM,121,0,94
Sweep Pad GM,121,0,95
Lead Square XG,0,0,80
Square Lead,0,6,80
LM Square,0,8,80
Hollow,0,18,80
Shroud,0,19,80
Mellow,0,64,80
Solo Sine,0,65,80
Sine Lead,0,66,80
Lead Saw XG,0,0,81
Sawtooth Lead,0,6,81
Thick Sawtooth,0,8,81
Dynamic Sawtooth,0,18,81
Digital Saw,0,19,81
Big Lead,0,20,81
Heavy Synth,0,24,81
Wasp Synth,0,25,81
Pulse Saw,0,40,81
Dr. Lead,0,41,81
Velocity Lead,0,45,81
Sequenced Analog,0,96,81
Calliope XG,0,0,82
Pure Lead,0,65,82
Chiff XG,0,0,83
Rubby,0,64,83
Charang XG,0,0,84
Distorted Lead,0,64,84
Wire Lead X,0,65,84
Voice Lead XG,0,0,85
Synth Aahs,0,24,85
Vox Lead,0,64,85
Fifths Lead XG,0,0,86
Big Five,0,35,86
Bass & Lead XG,0,0,87
Big & Low,0,16,87
Fat & Perky,0,64,87
Soft Whirl,0,65,87
New Age Pad XG,0,0,88
Fantasy,0,64,88
Warm Pad XG,0,0,89
Thick Pad,0,16,89
Soft Pad,0,17,89
Sine Pad X,0,18,89
Horn Pad,0,64,89
Rotary Strings,0,65,89
Polysynth XG,0,0,90
Poly Pad 800,0,64,90
Click Pad,0,65,90
Analog Pad,0,66,90
Square Pad X,0,67,90
Choir Pad XG,0,0,91
Heaven Mod,0,64,91
Itopia,0,66,91
C.C. Pad,0,67,91
Bowed Glass XG,0,0,92
Glacier,0,64,92
Metallic Pad XG,0,0,93
Tine Pad,0,64,93
Pan Pad,0,65,93
Halo Pad XG,0,0,94
Sweep Pad XG,0,0,95
Shwimmer,0,20,95
Converge,0,27,95
Polar Pad,0,64,95
Celestial,0,66,95
GM/XG/Synth SFX,,,
Ice Rain GM,121,0,96
Soundtrack GM,121,0,97
Crystal GM,121,0,98
Synth Mallet,121,1,98
Atmosphere GM,121,0,99
Brightness GM,121,0,100
Goblins GM,121,0,101
Echo Drops GM,121,0,102
Echo Bell,121,1,102
Echo Pan,121,2,102
Star Theme GM,121,0,103
Ice Rain XG,0,0,96
Clav. Pad,0,45,96
Harmo. Rain,0,64,96
African Wind,0,65,96
Carib,0,66,96
Soundtrack XG,0,0,97
Prologue,0,27,97
Ancestral Clouds,0,64,97
Crystal XG,0,0,98
Synth Drum Comp.,0,12,98
Popcorn,0,14,98
Tiny Bells,0,18,98
Round Glocken.,0,35,98
Glocken. Chimes,0,40,98
Clear Bells,0,41,98
Chorus Bells,0,42,98
Synth Mallet X,0,64,98
Soft Crystal,0,65,98
LoudGlockenspiel,0,66,98
Xmas Bell,0,67,98
Vibe Bells,0,68,98
Digital Bells,0,69,98
Air Bells,0,70,98
Bell Harp,0,71,98
Gamelimba,0,72,98
Atmosphere XG,0,0,99
Warm Atmosph.,0,18,99
Hollow Release,0,19,99
Nylon El. Piano,0,40,99
Nylon Harp,0,64,99
Harp Vox,0,65,99
Atmosphere Pad,0,66,99
Planet,0,67,99
Brightness XG,0,0,100
Fantasy Bells,0,64,100
Smokey,0,96,100
Goblins XG,0,0,101
Goblin Synth,0,64,101
Creeper,0,65,101
Ring Pad,0,66,101
Ritual,0,67,101
To Heaven,0,68,101
Night,0,70,101
Glisten,0,71,101
Bell Choir X,0,96,101
Echo Drops XG,0,0,102
Echoes,0,8,102
Echo Pan X,0,14,102
Echo Bell X,0,64,102
Big Pan,0,65,102
Synth Piano,0,66,102
Creation,0,67,102
Star Dust,0,68,102
Pan Reso X,0,69,102
Star Theme XG,0,0,103
Starz,0,64,103
GM/XG/Ethnic,,,
Sitar GM,121,0,104
Sitar 2,121,1,104
Banjo GM,121,0,105
Shamisen GM,121,0,106
Koto GM,121,0,107
Taisho Koto,121,1,107
Kalimba GM,121,0,108
Bag Pipes GM,121,0,109
Fiddle GM,121,0,110
Shanai GM,121,0,111
Sitar XG,0,0,104
Detuned Sitar,0,32,104
Octave Sitar,0,35,104
Tamboura,0,97,104
Banjo XG,0,0,105
Muted Banjo,0,28,105
Rabab,0,96,105
Gopichant,0,97,105
Oud 3,0,98,105
Shamisen XG,0,0,106
Koto XG,0,0,107
Taisho-Kin,0,96,107
Kanoun X,0,97,107
Kalimba XG,0,0,108
Bag Pipes XG,0,0,109
Fiddle XG,0,0,110
Shanai XG,0,0,111
GM/XG/Percussive,,,
Tinkle Bell GM,121,0,112
Agogo GM,121,0,113
Steel Drums GM,121,0,114
Woodblock GM,121,0,115
Castanets,121,1,115
Taiko Drum GM,121,0,116
Concert BassDrum,121,1,116
Melodic Tom GM,121,0,117
Melodic Tom 2,121,1,117
Synth Drum GM,121,0,118
Rhythm Box Tom,121,1,118
Electric Drum,121,2,118
ReverseCymbalGM,121,0,119
Tinkle Bell XG,0,0,112
Bonang,0,96,112
Altair,0,97,112
Gamelal Gongs,0,98,112
St.GamelanGongs,0,99,112
Rama Cymbal,0,100,112
Asian Bells,0,101,112
Agogo XG,0,0,113
Steel Drums XG,0,0,114
Glass Percussion,0,97,114
Thai Bells,0,98,114
Woodblock XG,0,0,115
Castanex,0,96,115
Taiko Drum XG,0,0,116
Gran Cassa,0,96,116
Melodic Tom XG,0,0,117
Melodic Tom 3,0,64,117
Real Tom,0,65,117
Rock Tom,0,66,117
Synth Drum XG,0,0,118
Analog Tom,0,64,118
Electric Perc.,0,65,118
ReverseCymbalXG,0,0,119
GM/XG/SFX,,,
Gtr FretNoise GM,121,0,120
Guitar Cut Noise,121,1,120
Ac. Bass String,121,2,120
Breath Noise GM,121,0,121
Flute Key Click,121,1,121
Seashore GM,121,0,122
Rain,121,1,122
Thunder,121,2,122
Wind,121,3,122
Stream,121,4,122
Bubble,121,5,122
Bird Tweet GM,121,0,123
Dog,121,1,123
Horse Gallop,121,2,123
Bird Tweet 2,121,3,123
Telephone GM,121,0,124
Telephone 2,121,1,124
Door Creaking,121,2,124
Door,121,3,124
Scratch,121,4,124
Wind Chime,121,5,124
Helicopter GM,121,0,125
Car Engine,121,1,125
Car Stop,121,2,125
Car Pass,121,3,125
Car Crash,121,4,125
Siren,121,5,125
Train,121,6,125
Jetplane,121,7,125
Starship,121,8,125
Burst Noise,121,9,125
Applause GM,121,0,126
Laughing,121,1,126
Screaming,121,2,126
Punch,121,3,126
Heart Beat,121,4,126
Footsteps,121,5,126
Gun Shot GM,121,0,127
Machine Gun,121,1,127
Laser Gun,121,2,127
Explosion,121,3,127
Gtr FretNoise XG,0,0,120
Breath Noise XG,0,0,121
Seashore XG,0,0,122
Bird Tweet XG,0,0,123
Telephone XG,0,0,124
Helicopter XG,0,0,125
Applause XG,0,0,126
Gun Shot XG,0,0,127
